Date,Severity,Size,Intensity
2017-12-28,S2,2412675.2519434295,7034030.912744912
2017-12-29,S1,7465778.691688244,14671870.068855219
2017-12-29,S2,2303151.6270682905,6554922.9867037535
2017-12-30,S1,7306170.549313564,13900326.68244123
2017-12-30,S2,1910703.1257755584,5371698.658868784
2017-12-31,S1,7549811.848494973,14355678.133034058
2017-12-31,S2,1886751.437125597,5211185.514250017
2018-01-01,S1,8233721.735928112,16254366.089030277
2018-01-01,S2,2007971.8419738212,5685961.049692482
2018-01-02,S1,8863630.80920242,17839863.920741327
2018-01-02,S2,2104477.3622763306,6090428.3006444415
2018-01-03,S1,7840314.944116597,16813043.96849871
2018-01-03,S2,2103110.5697027575,6073827.398603969
2018-01-04,S1,8556526.961788738,17310370.454937853
2018-01-04,S2,1789483.0068085168,4966423.917577818
2018-01-05,S1,8788588.222662676,17287898.915892936
2018-01-05,S2,1742397.549560854,4761810.902929245
2018-01-06,S1,7795466.547111256,15417325.691537729
2018-01-06,S2,1559208.5645299803,4151026.404842337
2018-01-07,S1,7514364.411332821,14881752.962507395
2018-01-07,S2,1554140.811683621,4092796.6701830667
2018-01-08,S1,4778764.123804066,9141046.493509395
2018-01-08,S2,1447402.208786264,3868793.0696371403
2018-01-09,S1,7806896.426387578,15261137.007454539
2018-01-09,S2,1401425.2768593756,3842267.421141705
2018-01-10,S1,7718761.198700605,14434667.923255425
2018-01-10,S2,1482005.1627006077,3950429.9085936174
2018-01-11,S1,7972755.560246513,14633808.73161914
2018-01-11,S2,1488531.5835141274,3894388.7077197535
2018-01-12,S1,7801633.0557418475,14268994.966741761
2018-01-12,S2,1592855.7509195537,4117070.815968922
2018-01-13,S1,7408826.852906441,13419185.732175339
2018-01-13,S2,1655441.3275752398,4162302.87779856
2018-01-14,S1,6702905.026299268,11970292.0099788
2018-01-14,S2,1186370.6061004233,3062059.885987516
2018-01-15,S1,5141068.030452188,9492365.097017027
2018-01-15,S2,1271359.3949312188,3200663.8516521933
2018-01-16,S1,5613286.610217797,9859058.401403384
2018-01-16,S2,805355.2601025989,1998449.9883973645
2018-01-17,S1,6188203.914546505,10896193.722350502
2018-01-17,S2,733803.3071715069,1846616.9556909841
2018-01-18,S1,6433940.198151019,11585909.70062691
2018-01-18,S2,836244.5376119688,2160527.6697435887
2018-01-19,S1,6283884.1167199435,11532143.448967054
2018-01-19,S2,1128215.3791047938,3062867.3348802505
2018-01-20,S1,5300785.157563499,10059596.791231163
2018-01-20,S2,1277829.109704728,3671031.161931364
2018-01-21,S1,7318066.573500694,13373109.650479853
2018-01-21,S2,1689141.7680424904,4886862.015840631
2018-01-22,S1,8043618.685049173,15143515.847221743
2018-01-22,S2,2031582.230532076,5964475.117004743
2018-01-23,S1,7659838.113412345,15630977.086875064
2018-01-23,S2,2734557.9896465144,7985208.140170594
2018-01-24,S1,8685968.394716976,17782725.92093456
2018-01-24,S2,3051095.752088413,9053753.706106985
2018-01-25,S1,10565758.267759955,21176361.331916064
2018-01-25,S2,3475578.4176801792,10221500.351595532
2018-01-26,S1,16803888.392664485,34160096.26846618
2018-01-26,S2,4605985.449771289,13191834.94837105
2018-01-27,S1,17327352.373099253,35988374.11185986
2018-01-27,S2,5458110.362849985,15713358.77140405
2018-01-28,S1,10467908.131021146,23753814.928227626
2018-01-28,S2,5207325.773150008,15848796.848511502
2018-01-29,S1,8473980.266949102,19607670.15933059
2018-01-29,S2,3851390.6261720783,12098513.142452173
2018-01-30,S1,7747721.509335706,17756766.417967048
2018-01-30,S2,3510758.5686508766,10895437.691703703
2018-01-31,S1,6510448.051539943,14245894.133219123
2018-01-31,S2,2734041.9503576322,8237332.803780482
2018-02-01,S1,5897472.372434367,10917948.038039058
2018-02-01,S2,1487560.643522084,3908901.4631640962
2018-02-02,S1,6387017.98277781,10809342.554316048
2018-02-02,S2,1030791.6797308426,2549118.8654444213
2018-02-03,S1,6330594.082509901,10625544.863543171
2018-02-03,S2,679522.9893861667,1674277.9785336228
2018-02-04,S1,5616564.518263665,9684859.054810673
