lon,lat,year,max_intensity
151.625,-48.625,2012,147.1902
151.625,-48.375,2012,131.3468
151.625,-48.125,2016,82.2337
151.625,-47.875,1989,129.0219
151.625,-47.625,1989,166.9564
151.625,-47.375,1989,151.5047
151.625,-47.125,2015,178.4745
151.625,-46.875,2015,224.8826
151.625,-46.625,2015,201.7326
151.625,-46.375,2016,317.572
151.625,-46.125,2016,322.5783
151.625,-45.875,2015,310.3501
151.625,-45.625,2016,294.2669
151.625,-45.375,2016,229.021
151.625,-45.125,2016,214.3014
151.625,-44.875,2016,211.6793
151.625,-44.625,2016,172.9573
151.625,-44.375,2016,186.3553
151.625,-44.125,2016,189.3297
151.625,-43.875,2016,193.0295
151.625,-43.625,2019,326.3925
151.625,-43.375,2019,330.8233
151.625,-43.125,2019,314.0419
151.625,-42.875,2016,619.2537
151.625,-42.625,2016,432.8454
151.625,-42.375,2016,305.8044
151.625,-42.125,2016,418.6407
151.625,-41.875,2017,200.8751
151.625,-41.625,2014,302.1224
151.625,-41.375,2014,308.8653
151.625,-41.125,2014,300.6742
151.625,-40.875,2014,274.9674
151.625,-40.625,2014,264.3462
151.625,-40.375,2017,280.5169
151.625,-40.125,2017,306.5008
151.625,-39.875,2017,310.2134
151.625,-39.625,2017,277.0656
151.625,-39.375,2017,301.5727
151.625,-39.125,2016,348.8797
151.625,-38.875,2016,278.1013
151.625,-38.625,2016,216.1839
151.625,-38.375,2000,186.6977
151.625,-38.125,2016,217.7705
151.625,-37.875,2014,180.7127
151.625,-37.625,2014,182.7043
151.625,-37.375,2014,174.3015
151.625,-37.125,2016,184.7146
151.625,-36.875,2016,177.0914
151.625,-36.625,2016,170.8078
151.625,-36.375,2014,181.3036
151.625,-36.125,1998,152.5776
151.625,-35.875,1998,156.7103
151.625,-35.625,1998,169.6284
151.625,-35.375,2014,191.8002
151.625,-35.125,2014,198.2133
151.625,-34.875,2014,200.841
151.625,-34.625,2014,197.6936
151.625,-34.375,2014,206.4923
151.625,-34.125,2014,186.8607
151.625,-33.875,1998,139.0734
151.625,-33.625,1998,116.9172
151.625,-33.375,1998,86.4439
151.625,-33.125,2001,77.6105
151.875,-54.875,2012,103.3841
151.875,-54.625,2013,98.7828
151.875,-54.375,2013,76.0117
151.875,-54.125,2002,78.8218
151.875,-53.875,2020,95.6821
151.875,-53.625,2020,102.252
151.875,-53.375,2002,137.4893
151.875,-53.125,2002,119.6017
151.875,-52.875,2002,114.0629
151.875,-52.625,2002,113.375
151.875,-52.375,2002,107.171
151.875,-52.125,2001,96.2382
151.875,-51.875,2016,65.8537
151.875,-51.625,1989,94.7152
151.875,-51.375,1989,125.7736
151.875,-51.125,1989,112.452
151.875,-50.875,1989,98.5015
151.875,-50.625,1989,105.0879
151.875,-50.375,1989,100.8246
151.875,-50.125,2017,120.6174
151.875,-49.875,1989,104.9519
151.875,-49.625,2012,148.4726
151.875,-49.375,1989,158.7085
151.875,-49.125,1989,162.5542
151.875,-48.875,2012,97.4257
151.875,-48.625,2012,146.3174
151.875,-48.375,2012,147.6429
151.875,-48.125,2013,91.5432
151.875,-47.875,2013,102.1514
151.875,-47.625,2013,166.6414
151.875,-47.375,1989,130.7217
151.875,-47.125,2016,176.7335
151.875,-46.875,2015,221.9229
151.875,-46.625,2015,156.7523
151.875,-46.375,2015,162.9348
151.875,-46.125,2015,163.2877
151.875,-45.875,2015,259.3346
151.875,-45.625,2015,151.6762
151.875,-45.375,2016,200.0683
151.875,-45.125,2016,214.2298
151.875,-44.875,2016,216.5468
151.875,-44.625,2016,201.7486
151.875,-44.375,2016,163.2556
151.875,-44.125,2016,162.9755
151.875,-43.875,2016,175.6122
151.875,-43.625,2016,183.6809
151.875,-43.375,2016,395.9399
151.875,-43.125,2016,586.5369
151.875,-42.875,2015,450.9517
151.875,-42.625,2015,284.1978
151.875,-42.375,2015,313.2931
151.875,-42.125,2016,397.4958
151.875,-41.875,2017,234.6723
151.875,-41.625,2014,217.6846
151.875,-41.375,2014,301.6504
151.875,-41.125,2014,291.3346
151.875,-40.875,2014,275.9989
151.875,-40.625,2014,260.9183
151.875,-40.375,2017,297.941
151.875,-40.125,2017,347.444
151.875,-39.875,2017,327.3124
151.875,-39.625,2017,287.0235
151.875,-39.375,2016,343.7256
151.875,-39.125,2016,356.5405
151.875,-38.875,2016,342.314
151.875,-38.625,2016,204.3956
151.875,-38.375,2016,224.7361
151.875,-38.125,2016,210.0651
151.875,-37.875,2016,208.1185
